year,date,carrier,origin_city,destination,dep_delay,arr_delay,cancelled,diverted,air_time,distance
2017,2017/1/6,DL,San Francisco,New York,-5,12,NO,NO,274,2586
2017,2017/1/7,DL,New York,Atlanta,259,28,NO,NO,123,762
2017,2017/1/7,DL,New York,Atlanta,498,6,NO,NO,117,762
2017,2017/1/7,DL,Rochester,Atlanta,126,4,NO,NO,117,749
2017,2017/1/7,DL,New York,Boston,,,YES,NO,,184
2017,2017/1/8,DL,New York,Los Angeles,128,7,NO,NO,343,2475
2017,2017/1/16,DL,New York,Boston,-2,5,NO,NO,43,184
2017,2017/1/17,DL,New York,Atlanta,3,5,NO,NO,112,762
2017,2017/1/17,DL,New York,Atlanta,12,8,NO,NO,115,762
2017,2017/1/17,DL,Boston,New York,-4,6,NO,NO,55,184
2017,2017/1/18,DL,New York,Los Angeles,29,22,NO,NO,304,2475
2017,2017/1/18,DL,San Francisco,New York,-3,8,NO,NO,310,2586
2017,2017/1/18,DL,New York,Atlanta,-3,5,NO,NO,104,762
2017,2017/1/18,DL,San Francisco,New York,-3,6,NO,NO,296,2586
2017,2017/1/18,DL,Rochester,Atlanta,-4,6,NO,NO,98,749
2017,2017/1/18,DL,Boston,New York,-7,5,NO,NO,54,184
2017,2017/1/19,DL,New York,Atlanta,-6,6,NO,NO,108,760
2017,2017/1/19,DL,Atlanta,New York,-2,6,NO,NO,101,762
2017,2017/1/22,DL,New York,San Francisco,-2,13,NO,NO,384,2586
2017,2017/1/22,DL,New York,Los Angeles,-3,69,NO,NO,369,2475
2017,2017/1/22,DL,Atlanta,New York,-4,9,NO,NO,97,762
2017,2017/1/22,DL,Atlanta,New York,158,6,NO,NO,91,762
2017,2017/1/23,DL,Los Angeles,New York,2,7,NO,NO,285,2475
2017,2017/1/23,DL,Atlanta,New York,49,6,NO,NO,105,762
2017,2017/1/24,DL,New York,San Francisco,-6,20,NO,NO,351,2586
2017,2017/1/24,DL,Los Angeles,New York,-6,5,NO,NO,270,2475
2017,2017/1/30,DL,New York,Atlanta,-4,10,NO,NO,113,760
2017,2017/1/30,DL,Atlanta,New York,7,5,NO,NO,102,762
2017,2017/1/30,DL,Boston,New York,-3,11,NO,NO,52,184
2017,2017/1/31,DL,New York,San Francisco,-5,9,NO,NO,373,2586
2017,2017/1/31,DL,Los Angeles,New York,23,7,NO,NO,287,2475
2017,2017/1/31,DL,New York,Atlanta,87,6,NO,NO,114,762
2017,2017/1/31,DL,Boston,New York,-6,7,NO,NO,42,184
2017,2017/1/18,UA,Houston,New York,19,3,NO,NO,173,1416
2017,2017/1/17,UA,Chicago,New York,-1,6,NO,NO,88,733
